Commit Log for Tue Jan  2 21:42:43 2018


Seuraavat paketit päivitettiin:
apparmor (2.10.95-0ubuntu2.6) to 2.10.95-0ubuntu2.7
apt (1.2.20) to 1.2.24
apt-transport-https (1.2.20) to 1.2.24
apt-utils (1.2.20) to 1.2.24
archdetect-deb (1.117ubuntu2.1) to 1.117ubuntu2.2
base-files (18.2.0) to 18.2.1
bind9-host (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
binutils (2.26.1-1ubuntu1~16.04.3) to 2.26.1-1ubuntu1~16.04.5
bluetooth (5.37-0ubuntu5) to 5.37-0ubuntu5.1
bluez (5.37-0ubuntu5) to 5.37-0ubuntu5.1
bluez-cups (5.37-0ubuntu5) to 5.37-0ubuntu5.1
bluez-obexd (5.37-0ubuntu5) to 5.37-0ubuntu5.1
bsdutils (1:2.27.1-6ubuntu3.2) to 1:2.27.1-6ubuntu3.3
btrfs-tools (4.4-1) to 4.4-1ubuntu1
ca-certificates (20160104ubuntu1) to 20170717~16.04.1
coreutils (8.25-2ubuntu2) to 8.25-2ubuntu3~16.04
cpp-5 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
cracklib-runtime (2.9.2-1build2) to 2.9.2-1ubuntu1
cryptsetup (2:1.6.6-5ubuntu2) to 2:1.6.6-5ubuntu2.1
cryptsetup-bin (2:1.6.6-5ubuntu2) to 2:1.6.6-5ubuntu2.1
cups (2.1.3-4) to 2.1.3-4ubuntu0.3
cups-bsd (2.1.3-4) to 2.1.3-4ubuntu0.3
cups-client (2.1.3-4) to 2.1.3-4ubuntu0.3
cups-common (2.1.3-4) to 2.1.3-4ubuntu0.3
cups-core-drivers (2.1.3-4) to 2.1.3-4ubuntu0.3
cups-daemon (2.1.3-4) to 2.1.3-4ubuntu0.3
cups-ppdc (2.1.3-4) to 2.1.3-4ubuntu0.3
cups-server-common (2.1.3-4) to 2.1.3-4ubuntu0.3
curl (7.47.0-1ubuntu2.2) to 7.47.0-1ubuntu2.5
distro-info-data (0.28ubuntu0.3) to 0.28ubuntu0.6
dkms (2.2.0.3-2ubuntu11.3) to 2.2.0.3-2ubuntu11.5
dnsmasq-base (2.75-1ubuntu0.16.04.2) to 2.75-1ubuntu0.16.04.4
dnsutils (1:9.10.3.dfsg.P4-8ubuntu1.6) to 1:9.10.3.dfsg.P4-8ubuntu1.9
dpkg (1.18.4ubuntu1.2) to 1.18.4ubuntu1.3
dpkg-dev (1.18.4ubuntu1.2) to 1.18.4ubuntu1.3
firefox (54.0+linuxmint2+sonya) to 57.0.3+linuxmint1+sylvia
firefox-locale-en (54.0+linuxmint2+sonya) to 57.0.3+linuxmint1+sylvia
freerdp-x11 (1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1) to 1.1.0~git20140921.1.440916e+dfsg1-5ubuntu1.2
fwupdate (0.5-2ubuntu4) to 0.5-2ubuntu5
gcc-5 (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
gcc-5-base (5.4.0-6ubuntu1~16.04.4) to 5.4.0-6ubuntu1~16.04.5
gdb (7.11.1-0ubuntu1~16.04) to 7.11.1-0ubuntu1~16.5
ghostscript (9.18~dfsg~0-0ubuntu2.6) to 9.18~dfsg~0-0ubuntu2.7
ghostscript-x (9.18~dfsg~0-0ubuntu2.6) to 9.18~dfsg~0-0ubuntu2.7
gir1.2-evince-3.0 (3.18.2-1ubuntu4) to 3.18.2-1ubuntu4.3
gir1.2-gdkpixbuf-2.0 (2.32.2-1ubuntu1.2) to 2.32.2-1ubuntu1.3
gir1.2-javascriptcoregtk-4.0 (2.16.2-0ubuntu0.16.04.1) to 2.18.3-0ubuntu0.16.04.1
gir1.2-networkmanager-1.0 (1.2.6-0ubuntu0.16.04.1) to 1.2.6-0ubuntu0.16.04.2
gir1.2-nmgtk-1.0 (1.2.6-0ubuntu0.16.04.3) to 1.2.6-0ubuntu0.16.04.4
gir1.2-packagekitglib-1.0 (0.8.17-4ubuntu6~gcc5.4ubuntu1.1) to 0.8.17-4ubuntu6~gcc5.4ubuntu1.2
